factor_name,horizon,period,universe,n_days,ic_mean,ic_std,icir,rank_ic_mean,pos_ic_ratio,t_stat,p_value,ci_low,ci_high,partial_ic_mean,partial_ic_std,partial_icir,partial_t_stat,partial_p_value,partial_ci_low,partial_ci_high
beta,1,post_event,theme_core,47,-0.01514964135261631,0.09009661473646016,-0.1681488410738875,-0.028500962583914376,0.44680851063829785,-1.1527703758603007,0.2549600199742288,-0.04090784755996108,0.010608564854728463,,,,,,,
beta,1,post_event_extended,theme_core,102,0.0004610205961611817,0.11433439547840388,0.004032212653350338,-0.0009273048178483771,0.4803921568627451,0.04072335160503779,0.9675968378566546,-0.021727731872929153,0.022649773065251518,,,,,,,
beta,1,pre_event,theme_core,150,0.004070193208305603,0.10239632727351271,0.03974940622072934,0.005139084231911236,0.5333333333333333,0.48682881409699186,0.627095014377816,-0.012316632010896797,0.020457018427508,,,,,,,
beta,2,post_event,theme_core,47,-0.022636978448788456,0.08254149774322515,-0.27424966916894183,-0.02771044677858575,0.3617021276595745,-1.8801610060965204,0.06642721718360489,-0.046235211587204936,0.000961254689628023,,,,,,,
beta,2,post_event_extended,theme_core,101,0.0008204494346073371,0.12073008571373511,0.006795733058226405,-0.0024836027906588146,0.46534653465346537,0.06829627198951485,0.9456861663414764,-0.022725211916824268,0.024366110786038942,,,,,,,
beta,2,pre_event,theme_core,150,0.004362056457326637,0.09862315443020649,0.044229536993907165,0.005507110486013441,0.5266666666666666,0.5416989859731236,0.5888349966358528,-0.01142093534761722,0.020145048262270496,,,,,,,
beta,3,post_event,theme_core,47,-0.028885256323941927,0.0940705388353118,-0.30705953937939073,-0.030367278131888956,0.3829787234042553,-2.1050941437433455,0.040774130729309466,-0.055779589084875555,-0.001990923563008302,,,,,,,
beta,3,post_event_extended,theme_core,100,0.0017174666611610523,0.1236442358715993,0.013890390029540787,-0.004057430848570091,0.53,0.1389039002954079,0.8898082559158673,-0.02251680356967241,0.025951736891994516,,,,,,,
beta,3,pre_event,theme_core,150,0.004542715676371712,0.09507050682721044,0.04778259660094214,0.007656821378340366,0.5266666666666666,0.5852149012877707,0.5592884559012612,-0.010671734102839028,0.01975716545558245,,,,,,,
beta,5,post_event,theme_core,47,-0.040612325487430136,0.10184487729422331,-0.39876650221791454,-0.03584802146612003,0.2978723404255319,-2.733805405416079,0.008857633203951831,-0.06972930572225709,-0.011495345252603182,,,,,,,
beta,5,post_event_extended,theme_core,98,0.004437545259617469,0.12870138237211642,0.034479390802401186,0.0007723623908072384,0.5306122448979592,0.34132855466582535,0.7335945357133817,-0.021044028402936295,0.029919118922171237,,,,,,,
beta,5,pre_event,theme_core,150,0.0045636860640962265,0.09391401262797656,0.048594303835940295,0.005849351461165807,0.5266666666666666,0.5951562440191249,0.5526418489803784,-0.01046568609744522,0.019593058225637672,,,,,,,
beta,10,post_event,theme_core,47,-0.07587990493190137,0.09076524048753182,-0.8360018055846478,-0.05977795732710897,0.2553191489361702,-5.731339624399969,7.305740128416005e-07,-0.10182926815465701,-0.04993054170914574,,,,,,,
beta,10,post_event_extended,theme_core,93,0.019215303139976613,0.13227186489394543,0.14527128014248,0.016709011992801292,0.5053763440860215,1.4009454912964479,0.16459447243761938,-0.0076679656155417796,0.046098571895495,,,,,,,
beta,10,pre_event,theme_core,150,0.007050571538165841,0.09357782654353201,0.0753444677931897,0.005831379903109859,0.54,0.9227775051743786,0.35761501479507896,-0.00792499964482873,0.022026142721160415,,,,,,,
beta,20,post_event,theme_core,47,-0.12318163450907711,0.09247482941797774,-1.3320558176139738,-0.12330550318700066,0.14893617021276595,-9.132114594016214,6.729949930672774e-12,-0.14961976131444935,-0.09674350770370486,,,,,,,
beta,20,post_event_extended,theme_core,83,0.045382962636599564,0.07795060428732101,0.5822015499625998,0.040918102790910474,0.6746987951807228,5.304108550609127,9.413443682326772e-07,0.028612829461719495,0.06215309581147963,,,,,,,
beta,20,pre_event,theme_core,150,0.018826054727467553,0.09643155109205187,0.19522712757670496,0.014475699328020007,0.58,2.3910342325608087,0.018049307954599803,0.003393792502464887,0.03425831695247022,,,,,,,
beta,40,post_event,theme_core,47,-0.15453386663761598,0.07257661567319301,-2.1292514841622023,-0.15020099550129176,0.0,-14.597412732807353,0.0,-0.17528318599672385,-0.1337845472785081,,,,,,,
beta,40,post_event_extended,theme_core,63,0.05711431682926375,0.06534202677298992,0.8740824190790603,0.04063246489406827,0.7936507936507936,6.937814118770799,2.7545221659153185e-09,0.040978966549053225,0.07324966710947428,,,,,,,
beta,40,pre_event,theme_core,150,0.030983528441726527,0.10342858375849105,0.2995644657967475,0.036532270667291776,0.58,3.6689004313572755,0.00033851931945538816,0.01443150777996157,0.04753554910349148,,,,,,,
beta,60,post_event,theme_core,47,-0.1313820049746751,0.05461391427219637,-2.4056507709713992,-0.1124672073096528,0.0,-16.49231077496839,0.0,-0.1469958709309972,-0.11576813901835298,,,,,,,
beta,60,post_event_extended,theme_core,43,0.07762917114187515,0.03920642700570083,1.9800113672839261,0.045842191912253735,0.9767441860465116,12.983802818383495,2.220446049250313e-16,0.0659104799720859,0.08934786231166439,,,,,,,
beta,60,pre_event,theme_core,150,0.026990876498181063,0.11898670329028253,0.22683943459071673,0.041426941709642146,0.6,2.778204341443481,0.006169729755983955,0.00794903816135507,0.04603271483500705,,,,,,,
