factor_name,period,universe,horizon,ic_mean,abs_ic_mean,rank_ic_mean,n_days,smoothed_abs_ic
beta,post_event,all,1,-0.01514964135261631,-0.01514964135261631,-0.028500962583914376,47,0.01514964135261631
beta,post_event,all,2,-0.022636978448788456,-0.022636978448788456,-0.02771044677858575,47,0.022636978448788456
beta,post_event,all,3,-0.028885256323941927,-0.028885256323941927,-0.030367278131888956,47,0.028885256323941927
beta,post_event,all,5,-0.040612325487430136,-0.040612325487430136,-0.03584802146612003,47,0.040612325487430136
beta,post_event,all,10,-0.07587990493190137,-0.07587990493190137,-0.05977795732710897,47,0.07587990493190137
beta,post_event,all,20,-0.12318163450907711,-0.12318163450907711,-0.12330550318700066,47,0.12318163450907711
beta,post_event,all,40,-0.15453386663761598,-0.15453386663761598,-0.15020099550129176,47,0.15453386663761598
beta,post_event,all,60,-0.1313820049746751,-0.1313820049746751,-0.1124672073096528,47,0.1313820049746751
liquidity,post_event,all,1,-0.016904127996520562,-0.016904127996520562,-0.0189115320545431,47,0.016904127996520562
liquidity,post_event,all,2,-0.01049828528879123,-0.01049828528879123,-0.012077186262481176,47,0.01049828528879123
liquidity,post_event,all,3,-0.0016922375716785156,-0.0016922375716785156,0.006494199559106641,47,0.0016922375716785156
liquidity,post_event,all,5,0.004241008390194377,0.004241008390194377,0.007957526608213389,47,0.004241008390194377
liquidity,post_event,all,10,0.0076415842815575055,0.0076415842815575055,0.01226272057136587,47,0.0076415842815575055
liquidity,post_event,all,20,0.01728040424714437,0.01728040424714437,0.015460194910773967,47,0.01728040424714437
liquidity,post_event,all,40,0.029850094130292784,0.029850094130292784,0.021483077475536405,47,0.01728040424714437
liquidity,post_event,all,60,0.01715001545039906,0.01715001545039906,-0.0012997376584772246,47,0.01715001545039906
noise_alpha,post_event,all,1,-0.023050312509795532,-0.023050312509795532,-0.019029735364235772,47,0.023050312509795532
noise_alpha,post_event,all,2,-0.03286503462942614,-0.03286503462942614,-0.03212386908858766,47,0.03286503462942614
noise_alpha,post_event,all,3,-0.02920011663646204,-0.02920011663646204,-0.02100926674048139,47,0.02920011663646204
noise_alpha,post_event,all,5,-0.023169702350146874,-0.023169702350146874,-0.020498548642906306,47,0.023169702350146874
noise_alpha,post_event,all,10,-0.024544375685015205,-0.024544375685015205,-0.026218691085375716,47,0.024544375685015205
noise_alpha,post_event,all,20,-0.04106627477047234,-0.04106627477047234,-0.04099560104138612,47,0.04106627477047234
noise_alpha,post_event,all,40,-0.03543359806827406,-0.03543359806827406,-0.04158761508613381,47,0.03543359806827406
noise_alpha,post_event,all,60,-0.03319645017134232,-0.03319645017134232,-0.04258162013346501,47,0.03319645017134232
noise_beta,post_event,all,1,0.017592239839376755,0.017592239839376755,0.015288625549869822,47,0.017592239839376755
noise_beta,post_event,all,2,0.0023548894852037385,0.0023548894852037385,0.007187459476713448,47,0.0023548894852037385
noise_beta,post_event,all,3,0.001023264164715022,0.001023264164715022,-0.001798984548782555,47,0.001023264164715022
noise_beta,post_event,all,5,0.03358378963406295,0.03358378963406295,0.03336176197743664,47,0.03358378963406295
noise_beta,post_event,all,10,0.03521655150838412,0.03521655150838412,0.026879033625599753,47,0.03521655150838412
noise_beta,post_event,all,20,0.04266101879110851,0.04266101879110851,0.03829787234042553,47,0.04266101879110851
noise_beta,post_event,all,40,0.022595711723304223,0.022595711723304223,0.0222820719992818,47,0.022595711723304223
noise_beta,post_event,all,60,0.025845211555735614,0.025845211555735614,0.020528473531436095,47,0.025845211555735614
order_or_contract,post_event,all,1,0.011072969819883592,0.011072969819883592,0.01695450229201623,47,0.011072969819883592
order_or_contract,post_event,all,2,0.008451814355768807,0.008451814355768807,0.008967007131155122,47,0.011072969819883592
order_or_contract,post_event,all,3,0.011668279227833533,0.011668279227833533,0.008060902309185509,47,0.011668279227833533
order_or_contract,post_event,all,5,0.015100776501538337,0.015100776501538337,0.012027047139185077,47,0.015100776501538337
order_or_contract,post_event,all,10,0.026908878040802626,0.026908878040802626,0.023408636772948178,47,0.026908878040802626
order_or_contract,post_event,all,20,0.048714525647129144,0.048714525647129144,0.061916810474177374,47,0.048714525647129144
order_or_contract,post_event,all,40,0.07752617168636662,0.07752617168636662,0.11243208516420844,47,0.07752617168636662
order_or_contract,post_event,all,60,0.10505241532418895,0.10505241532418895,0.12314968868116256,47,0.10505241532418895
price_momentum,post_event,all,1,-0.005444521810730235,-0.005444521810730235,-0.010193913277673045,47,0.005444521810730235
price_momentum,post_event,all,2,-0.00929608745358908,-0.00929608745358908,-0.011887661968459168,47,0.00929608745358908
price_momentum,post_event,all,3,-0.012386160975575454,-0.012386160975575454,-0.010943531735344287,47,0.012386160975575454
price_momentum,post_event,all,5,-0.011737023769715775,-0.011737023769715775,-0.01597490299348635,47,0.011737023769715775
price_momentum,post_event,all,10,-0.005613937410919257,-0.005613937410919257,-0.023121963870684586,47,0.005613937410919257
price_momentum,post_event,all,20,-0.022620035708082055,-0.022620035708082055,-0.0792620522488554,47,0.022620035708082055
price_momentum,post_event,all,40,0.02569034453894301,0.02569034453894301,-0.025097006513650745,47,0.022620035708082055
price_momentum,post_event,all,60,-0.027689418744525532,-0.027689418744525532,-0.05555954554069285,47,0.027689418744525532
quality,post_event,all,1,0.022813838130992047,0.022813838130992047,0.019258660761488668,47,0.022813838130992047
quality,post_event,all,2,0.02908624837448491,0.02908624837448491,0.028076527914933518,47,0.02908624837448491
quality,post_event,all,3,0.03168802873288331,0.03168802873288331,0.0318739962693639,47,0.03168802873288331
quality,post_event,all,5,0.032069593279821625,0.032069593279821625,0.03266301583026603,47,0.032069593279821625
quality,post_event,all,10,0.017725206906141797,0.017725206906141797,0.026097994034972226,47,0.017725206906141797
quality,post_event,all,20,0.0005330163790509244,0.0005330163790509244,0.017341472903013435,47,0.0005330163790509244
quality,post_event,all,40,0.06335053442205886,0.06335053442205886,0.07294241453950584,47,0.06335053442205886
quality,post_event,all,60,0.038681897520640475,0.038681897520640475,0.06451307218880611,47,0.038681897520640475
revenue_revision,post_event,all,1,-0.009094795651782067,-0.009094795651782067,-0.0023290953687781805,47,0.009094795651782067
revenue_revision,post_event,all,2,-0.015578971414442097,-0.015578971414442097,-0.005267628253911148,47,0.015578971414442097
revenue_revision,post_event,all,3,-0.014277476205909004,-0.014277476205909004,-0.0069921421821620726,47,0.014277476205909004
revenue_revision,post_event,all,5,-0.006444674476895537,-0.006444674476895537,0.003489697491557412,47,0.006444674476895537
revenue_revision,post_event,all,10,0.0023985393202074325,0.0023985393202074325,0.019991857172454903,47,0.0023985393202074325
revenue_revision,post_event,all,20,0.012252854528435282,0.012252854528435282,0.030961732466840964,47,0.012252854528435282
revenue_revision,post_event,all,40,0.03492378173231034,0.03492378173231034,0.0505736017057918,47,0.03492378173231034
revenue_revision,post_event,all,60,0.06189104540058435,0.06189104540058435,0.051677751947075995,47,0.06189104540058435
theme_heat,post_event,all,1,-0.0028074450565599594,-0.0028074450565599594,0.0005275436407836599,47,0.0028074450565599594
theme_heat,post_event,all,2,-0.005660937865976113,-0.005660937865976113,0.0032124993924741232,47,0.005660937865976113
theme_heat,post_event,all,3,-0.0075460722350546286,-0.0075460722350546286,0.001906159023700942,47,0.0075460722350546286
theme_heat,post_event,all,5,-0.014663658092496491,-0.014663658092496491,-0.011374405366685667,47,0.014663658092496491
theme_heat,post_event,all,10,-0.01263216253113692,-0.01263216253113692,-0.012617126850433315,47,0.01263216253113692
theme_heat,post_event,all,20,0.005299777642678586,0.005299777642678586,0.00802017085579885,47,0.005299777642678586
theme_heat,post_event,all,40,0.04038705679983831,0.04038705679983831,0.023541699357110483,47,0.04038705679983831
theme_heat,post_event,all,60,0.0644294511497128,0.0644294511497128,0.0035480555938933915,47,0.0644294511497128
valuation,post_event,all,1,-0.009927000287431629,-0.009927000287431629,-0.021290061944519253,47,0.009927000287431629
valuation,post_event,all,2,-0.006352792258606479,-0.006352792258606479,-0.02149155619395318,47,0.006352792258606479
valuation,post_event,all,3,-0.0016175383612622228,-0.0016175383612622228,-0.015904080757299186,47,0.0016175383612622228
valuation,post_event,all,5,0.0048273177834058136,0.0048273177834058136,-0.013004359058762507,47,0.0016175383612622228
valuation,post_event,all,10,-0.0034061363686828275,-0.0034061363686828275,-0.036080936848510235,47,0.0034061363686828275
valuation,post_event,all,20,-0.01827707048229618,-0.01827707048229618,-0.07538079420654159,47,0.01827707048229618
valuation,post_event,all,40,-0.03492237342974029,-0.03492237342974029,-0.10392265413811332,47,0.03492237342974029
valuation,post_event,all,60,-0.04811527635113418,-0.04811527635113418,-0.09764241753199467,47,0.04811527635113418
