factor_name,horizon,period,universe,n_days,ic_mean,ic_std,icir,rank_ic_mean,pos_ic_ratio,t_stat,p_value,ci_low,ci_high,partial_ic_mean,partial_ic_std,partial_icir,partial_t_stat,partial_p_value,partial_ci_low,partial_ci_high
beta,40,post_event,theme_diffused,47,-0.15453386663761598,0.07257661567319301,-2.1292514841622023,-0.15020099550129176,0.0,-14.597412732807353,0.0,-0.17528318599672385,-0.1337845472785081,,,,,,,
liquidity,40,post_event,theme_diffused,47,0.029850094130292784,0.08896619272209277,0.3355217663808173,0.021483077475536405,0.6595744680851063,2.300221341223335,0.02602177461070454,0.004415070358076888,0.05528511790250868,,,,,,,
noise_alpha,20,post_event,theme_diffused,47,-0.04106627477047234,0.10197933382629464,-0.402692126234342,-0.04099560104138612,0.2553191489361702,-2.7607181277637443,0.008256385483352169,-0.07022169550707784,-0.011910854033866842,-0.047227958338297175,0.10947567167815271,-0.4314014028353491,-2.957539011967625,0.004882472701026597,-0.07852654745867485,-0.015929369217919494
noise_beta,20,post_event,theme_diffused,47,0.04266101879110851,0.11190291713004855,0.381232410067825,0.03829787234042553,0.6595744680851063,2.613597725903462,0.012067884784717098,0.010668491401810816,0.0746535461804062,0.043627880098723926,0.11822462037727673,0.36902533465110104,2.529910233165356,0.014897765495955229,0.009828006936224293,0.07742775326122356
order_or_contract,60,post_event,theme_diffused,47,0.10505241532418895,0.04948175704744129,2.123053456316609,0.12314968868116256,1.0,14.554921194694296,0.0,0.09090580942497817,0.11919902122339973,0.049352569411827564,0.04317377725014821,1.143114467976233,7.836797961166254,5.151736814923424e-10,0.037009385814838834,0.061695753008816294
price_momentum,60,post_event,theme_diffused,47,-0.027689418744525532,0.1582919404656453,-0.17492627017567627,-0.05555954554069285,0.44680851063829785,-1.199234088860871,0.23657798491761306,-0.07294435374293043,0.017565516253879372,,,,,,,
quality,40,post_event,theme_diffused,47,0.06335053442205886,0.10563300951354394,0.5997228964108634,0.07294241453950584,0.7872340425531915,4.111493033744974,0.00016046387062318423,0.03315054467426226,0.09355052416985546,0.09264830788507278,0.12751053278527535,0.7265933712400864,4.9812731881630015,9.360249043188773e-06,0.056193635235065036,0.1291029805350805
revenue_revision,60,post_event,theme_diffused,47,0.06189104540058435,0.065667742881364,0.9424877829651818,0.051677751947075995,0.8085106382978723,6.461370705107029,5.872851382981992e-08,0.04311694087671522,0.08066514992445348,0.029086949077257136,0.06315867947679688,0.4605376381870531,3.157286977894902,0.002810122193294795,0.011030174197250737,0.04714372395726353
theme_heat,60,post_event,theme_diffused,47,0.0644294511497128,0.043944130990828695,1.4661673742771126,0.0035480555938933915,0.9361702127659575,10.051537104420806,3.455014052633487e-13,0.051866026974727995,0.07699287532469759,,,,,,,
valuation,60,post_event,theme_diffused,47,-0.04811527635113418,0.054433952973900156,-0.8839203056629814,-0.09764241753199467,0.23404255319148937,-6.059852309906316,2.3551417904776883e-07,-0.06367769220309427,-0.032552860499174094,0.009379082153314318,0.13440233761489728,0.0697836237059223,0.4784124208921615,0.6346227577642984,-0.029045925680334213,0.047804089986962846
